Rent,Beds,Baths,Area_in_sqft,log_area,property_rank_in_location,area_deviation_from_location,location_type_premium,furnishing_type_premium,bath_bed_ratio,area_per_bedroom,type_room_premium,Location,Type,Furnishing
210000,3,5,2350,7.762596048540069,0.9746455834242094,1.5556507862302398,0.8446181966312187,0.9962982747044148,1.25,587.5,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
129999,3,4,1650,7.409136443920128,0.7962104689203926,0.4714446970036663,0.8446181966312187,0.9962982747044148,1.0,412.5,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
170000,2,4,1714,7.44716835960004,0.5488115449915111,-0.1257028306840079,0.9394332373565368,0.9962982747044148,1.3333333333333333,571.3333333333334,0.7630233435089949,Yas Island,Apartment,Unfurnished
95000,2,3,1350,7.208600337960199,0.3805309734513274,-0.3637278157327723,1.0128873490635075,0.9962982747044148,1.0,450.0,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
150000,5,6,5600,8.630700432209832,0.7595744680851064,0.3096698262910046,1.5204488754714591,0.9962982747044148,1.0,933.3333333333334,1.73912046358283,Al Rahba,Villa,Unfurnished
200001,5,7,7500,8.922791623969637,0.9167575427117411,1.4310347027285584,1.7487047064323402,0.9962982747044148,1.1666666666666667,1250.0,1.73912046358283,Khalifa City,Villa,Unfurnished
150000,5,6,3553,8.175829008714597,0.8840304182509505,1.6439312546527498,1.0136978149900917,0.9962982747044148,1.0,592.1666666666666,1.73912046358283,Al Reef,Villa,Unfurnished
269500,5,6,8000,8.987321812850125,0.9620138131588514,1.5761081127599637,1.7487047064323402,0.9962982747044148,1.0,1333.3333333333333,1.73912046358283,Khalifa City,Villa,Unfurnished
80000,1,2,499,6.214608098422191,0.4118047982551799,-1.311299886853171,0.8446181966312187,0.9962982747044148,1.0,249.5,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
125000,3,4,1700,7.438971592395862,0.6385911179173047,-0.1079019125368262,1.013489831002807,0.9962982747044148,1.0,425.0,0.7630233435089949,Corniche Area,Apartment,Unfurnished
70000,3,3,2500,7.824445930877619,0.3303030303030303,-0.3724325911205696,0.5802194590117636,0.9962982747044148,0.75,625.0,0.7630233435089949,Al Bahia,Apartment,Unfurnished
165000,3,4,1700,7.438971592395862,0.7848451327433629,-0.0010185435787258,1.0128873490635075,0.9962982747044148,1.0,425.0,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
225000,3,3,2700,7.901377353792616,0.9369469026548672,1.0352936625756926,1.0128873490635075,1.0480048785486198,0.75,675.0,0.7630233435089949,Al Raha Beach,Apartment,Furnished
45000,2,2,2150,7.67368812926773,0.1808510638297872,-0.5649498007693318,0.4779290859653244,0.9962982747044148,0.6666666666666666,716.6666666666666,0.7630233435089949,Al Rahba,Apartment,Unfurnished
150000,4,6,6500,8.77971129020447,0.7604673807205453,0.9023075617071112,1.3332583646764185,0.9962982747044148,1.2,1300.0,1.73912046358283,Mohammed Bin Zayed City,Villa,Unfurnished
138000,2,3,1570,7.359467638255621,0.6485066371681416,-0.1357391303788002,1.0128873490635075,0.9962982747044148,1.0,523.3333333333334,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
150000,5,8,4000,8.294299608857235,0.7616161616161616,-0.0322781739627599,1.580416953822201,0.9962982747044148,1.3333333333333333,666.6666666666666,1.73912046358283,Shakhbout City,Villa,Unfurnished
100000,3,4,2688,7.896924656268864,0.6530612244897959,-0.2529989026272771,1.0863310331637803,0.9962982747044148,1.0,672.0,1.73912046358283,Al Samha,Villa,Unfurnished
90000,2,3,1550,7.346655163176539,0.3365597345132743,-0.1564653745018886,1.0128873490635075,0.9962982747044148,1.0,516.6666666666666,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
30000,0,1,600,6.398594934535208,0.2008360596146855,-0.5709783557048328,0.3943848198900072,0.9962982747044148,1.0,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
102000,2,3,1286,7.160069207596127,0.4596238938053097,-0.430051796926655,1.0128873490635075,0.9962982747044148,1.0,428.6666666666667,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
75000,1,2,1013,6.921658184151129,0.1754916792738275,-0.566575514160013,1.2926233664882631,0.9962982747044148,1.0,506.5,0.7630233435089949,Saadiyat Island,Apartment,Unfurnished
55000,2,2,1100,7.00397413672268,0.5097783572359843,-0.6877632107255023,0.3399731209065741,0.9962982747044148,0.6666666666666666,366.6666666666667,0.7630233435089949,Madinat Al Riyadh,Apartment,Unfurnished
90000,4,6,5500,8.612685172875459,0.7535353535353535,2.3914418646605986,0.5425077360212841,0.9962982747044148,1.2,1100.0,0.7630233435089949,Al Muroor,Apartment,Unfurnished
105000,1,2,794,6.678342114654332,0.4781526548672566,-0.939917402354629,1.0128873490635075,0.9962982747044148,1.0,397.0,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
60000,2,2,1800,7.496097345175956,0.5888767720828789,-0.2228021716294603,0.3943848198900072,0.9962982747044148,0.6666666666666666,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
80000,2,3,911,6.815639990074331,0.9072164948453608,0.3480252528102897,0.5100379201707087,1.0480048785486198,1.0,303.6666666666667,0.7630233435089949,Masdar City,Apartment,Furnished
190000,8,10,7998,8.987071812848821,0.9183673469387756,1.2311130233019585,1.0863310331637803,0.9962982747044148,1.1111111111111112,888.6666666666666,1.73912046358283,Al Samha,Villa,Unfurnished
75000,3,2,2400,7.783640596221253,0.658851326790258,-0.0487140795917741,0.3943848198900072,0.9962982747044148,0.5,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
45000,0,1,482,6.180016653652572,0.0025466893039049,-0.9384334442252612,0.9394332373565368,0.9962982747044148,1.0,482.0,0.7630233435089949,Yas Island,Apartment,Unfurnished
50000,1,2,1011,6.919683849847411,0.1995565410199556,-0.7990741428966852,0.7910142733254536,0.9962982747044148,1.0,505.5,0.7630233435089949,Tourist Club Area (Tca),Apartment,Unfurnished
29000,0,1,600,6.398594934535208,0.1675754271174118,-0.5709783557048328,0.3943848198900072,0.9962982747044148,1.0,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
210000,2,3,2750,7.919719760924575,0.916758849557522,1.0871092728834135,1.0128873490635075,0.9962982747044148,1.0,916.6666666666666,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
130000,3,4,1485,7.303843225277705,0.6136615044247787,-0.2238256679019258,1.0128873490635075,0.9962982747044148,1.0,371.25,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
85000,3,4,1259,7.138866999945524,0.4165727170236753,-0.6674270671419225,0.8803427291204609,0.9962982747044148,1.0,314.75,0.7630233435089949,Al Khalidiyah,Apartment,Unfurnished
160000,7,10,4500,8.412054873292933,0.8230282375851996,0.3210976682276501,1.3332583646764185,0.9962982747044148,1.25,562.5,1.73912046358283,Mohammed Bin Zayed City,Villa,Unfurnished
95000,2,4,1340,7.201170883281678,0.2913669064748201,-0.1375064418610724,1.1494623604006615,0.9962982747044148,1.3333333333333333,446.6666666666667,0.7630233435089949,Al Markaziya,Apartment,Unfurnished
59900,1,2,757,6.630683385642372,0.1007360959651035,-0.911692499681091,0.8446181966312187,0.9962982747044148,1.0,378.5,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
21600,0,1,600,6.398594934535208,0.0368916797488226,-0.9112405564963324,0.4866207113209237,0.9962982747044148,1.0,600.0,0.7630233435089949,Al Shamkha,Apartment,Unfurnished
48000,1,2,1000,6.90875477931522,0.4978189749182115,-0.4549196276797086,0.3943848198900072,0.9962982747044148,1.0,500.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
88000,2,3,1226,7.112327444710911,0.5119956379498364,-0.1852744198992867,0.8446181966312187,0.9962982747044148,1.0,408.6666666666667,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
55000,1,2,762,6.637258031284457,0.0621592148309705,-0.9039481704723298,0.8446181966312187,0.9962982747044148,1.0,381.0,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
139999,3,4,2850,7.955425088912672,0.7051860202931229,0.5483469201190523,0.8803427291204609,0.9962982747044148,1.0,712.5,0.7630233435089949,Al Khalidiyah,Apartment,Unfurnished
